Date:  14:13, Friday, November 04, 2022
Model name: 3DhoneyAssem
Study name: StarHoneycomb(-Default-)
Plot type: Static displacement Displacement2
Result Type: UY 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
1  ,1.622e-01  ,220.00000000  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
2  ,1.615e-01  ,220.00000000  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
3  ,1.549e-01  ,220.00000000  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
4  ,1.650e-01  ,220.00000000  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
5  ,-6.296e-06  ,-20.00000000  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
6  ,2.801e-05  ,-20.00000000  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
7  ,-1.122e-04  ,-20.00000000  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
8  ,-1.910e-04  ,-20.00000000  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
151  ,1.615e-01  ,214.77484131  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
152  ,1.616e-01  ,210.21527100  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
153  ,1.634e-01  ,205.60508728  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
154  ,1.587e-01  ,200.32812500  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
155  ,1.387e+00  ,193.82582092  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
156  ,1.412e+00  ,184.84637451  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
157  ,1.721e-01  ,172.38967896  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
158  ,9.973e-01  ,156.92959595  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
159  ,1.295e+00  ,140.57739258  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
160  ,-2.709e-02  ,124.22519684  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
161  ,1.180e+00  ,107.87300110  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
162  ,1.191e+00  ,91.52080536  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
163  ,-1.170e-01  ,75.16860962  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
164  ,1.164e+00  ,58.81641006  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
165  ,9.769e-01  ,42.46421432  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
166  ,2.068e-03  ,27.19613266  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
167  ,1.229e+00  ,14.92917347  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
168  ,1.288e+00  ,6.02650881  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
169  ,-1.592e-02  ,-0.41767395  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
170  ,-4.610e-04  ,-5.67852688  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
171  ,7.872e-05  ,-10.28032017  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
172  ,8.019e-05  ,-14.82869720  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
173  ,1.384e-01  ,214.77748108  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
174  ,1.314e-01  ,210.21910095  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
175  ,1.465e-01  ,205.61096191  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
176  ,2.414e-01  ,200.34069824  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
177  ,1.410e+00  ,193.84896851  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
178  ,1.411e+00  ,184.88668823  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
179  ,1.617e-01  ,172.43930054  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
180  ,1.011e+00  ,156.97659302  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
181  ,1.277e+00  ,140.63186646  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
182  ,-2.559e-02  ,124.28713989  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
183  ,1.172e+00  ,107.94242096  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
184  ,1.194e+00  ,91.59769440  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
185  ,-1.274e-01  ,75.25296783  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
186  ,1.150e+00  ,58.90824127  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
187  ,9.712e-01  ,42.56351852  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
188  ,4.322e-02  ,27.28661346  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
189  ,1.227e+00  ,14.98500729  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
190  ,1.273e+00  ,6.04463577  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
191  ,9.970e-02  ,-0.41758224  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
192  ,1.041e-02  ,-5.68517685  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
193  ,2.030e-03  ,-10.28745651  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
194  ,3.659e-04  ,-14.83918095  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
229  ,-1.633e-04  ,-14.61775398  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
230  ,-2.619e-04  ,-9.89494324  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
231  ,-5.165e-04  ,-5.31047344  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
232  ,-4.808e-02  ,-0.02153429  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
233  ,-1.307e+00  ,6.52021646  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
234  ,-1.210e+00  ,15.54394531  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
235  ,-5.635e-02  ,28.00489235  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
236  ,-7.778e-01  ,43.39737701  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
237  ,-1.148e+00  ,59.73218536  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
